Class,Message
who,who was the first governor of west virginia ?
who,who kept the most famous diary in the english language ?
unknown,who is the man behind the pig-the man who pulls the strings and speaks for miss piggy ?
who,who retired with 755 home runs to his credit ?
what,what 's the sacred river of india ?
affirmation,does it have a colour indicator ?
unknown,name a film in which jude law acted . ?
when,when was the hoover dam constructed ?
when,when did nostradamus believe world war iii would begin ?
unknown,how can i find a list of celebrities ' real names ?
what,what nevada center has been dubbed the biggest little city in the world ?
unknown,how long is the coney island boardwalk ?
what,"what kind of animals are dorsets , lincolns , oxfords and southdowns ?"
what,in what religion was isis the nature goddess ?
who,who created `` the muppets '' ?
what,what is the difference between classical conditioning and operant conditioning ?
what,what city is served by logan international airport ?
who,who was the first black to be head coach of a major league pro sports team ?
who,who is the president of the spanish government ?
what,what is a fear of being alone ?
unknown,where can stocks be traded on-line ?
what,what piano company claims its product is the `` instrument of the immortals '' ?
unknown,"which hair care product told us `` hate that gray , wash it away '' ?"
unknown,why are electric cars less efficient in the northeast than in california ?
when,"when superman needs to get away from it all , where does he go ?"
who,who was the last u.s. president to reinstate selective service registration ?
unknown,where do hyenas live ?
who,who is king in alley oop 's home of moo ?
who,who invented the road traffic cone ?
who,who made the musical plea be true to your school ?
when,when did fraze get his first patent for the pull-tab can ?
what,what 's an auberge in france ?
what,what are amphibians ?
who,who plays shortstop for charlie brown 's baseball team ?
what,what was the first domesticated bird ?
who,who created the monster in mary shelley 's novel frankenstein ?
unknown,where can i find information on george bush ?
who,who was the first woman to fly solo across the atlantic ?
what,what is the abbreviated expression for the national bureau of investigation ?
what,what is a golf ball made of ?
who,"who played for the chicago bears , houston oilers and oakland raiders in a 26-year pro football career ?"
who,who is the voice of miss piggy ?
what,what kind of wine is spumante ?
unknown,why is the grass green ?
what,what golfing accessory was patented by george grant on december 12 ?
who,who markets spaghetti-o 's ?
unknown,how far do you have to run if you hit a home run ?
what,what were popular songs and types of songs in the 1920s ?
what,what is the web address of the list of e-mail addresses of members of the house of representatives ?
what,what was the name of the sitcom that alyssa milano starred in with tony danza ?
who,who is stein eriksen ?
unknown,"name the poet of the poem which begins : i do not know much about gods ; but i think that the river is a strong brown god-sullen , and untamed ?"
unknown,how many degrees cooler is the inside of a cucumber than the air outside ?
what,what product on the market is good for hiding facial scars ?
what,what is the name of the tallest mountain in the world ?
what,what city is logan airport in ?
who,who portrayed `` the man without a face '' in the movie of the same name ?
affirmation,could someone give me the dimensions ?
what,what explorers followed columbus to the americas ?
who,who won the superbowl in ?
what,what is the kashmir issue ?
what,what are the most common elements in the earth 's crust ?
affirmation,is it loud ?
what,what is the name of the city that maurizio pellegrin lives in ?
unknown,name the largest country in south america .
what,what is paracetamol ?
what,what therapy attempts to elicit the `` primal scream '' ?
who,who killed caesar ?
what,what are the shortest and the longest songs ever produced ?
what,what is the history of skateboarding ?
what,what weapon is the mythological character apollo most proficient with ?
unknown,how many months does a normal human pregnancy last ?
what,what j.r.r. tolkien book features bilbo baggins as the central character ?
who,who said : `` soldiers win the battles and generals get the credit '' ?
what,what is bill gates of microsoft e-mail address ?
unknown,how do you find oxidation numbers ?
when,when was the internal combustion engine developed ?
unknown,name the soft drink that is `` number one in the sun . '' ?
affirmation,does it work with kenmore humidifier?
unknown,why doesn 't www.answers.com have any answers to my questions ?
affirmation,does it work for whirlpool duet ht - washer/dryer from 2005 ?
what,"what english word comes from the old french covrefeu , meaning cover fire ?"
what,what does the name `` justin '' mean ?
what,what was connecticut 's first constitution called ?
who,who was the prophet of the muslim people ?
who,who was the president of vichy france ?
what,what is the `` 7-minute cigarette '' ?
unknown,how do you make a paintball ?
what,what is `` the bear of beers '' ?
who,who directed the wild bunch ?
unknown,how is energy created ?
who,who wrote brave new world ?
unknown,how far can a man travel in outer space ?
what,what is the speed of the mississippi river ?
unknown,where is windsor castle ?
unknown,whose biography by maurice zolotow is titled shooting star ?
what,what musical instrument did prewitt play in james jones 's from here to eternity ?
what,what are some tips for building a fire in a fireplace ?
what,what is gymnophobia ?
who,who invented the stock ticker in 1870 ?
affirmation,can this model 1 cubic handle a king size sheet set ?
who,who has the only speaking role in `` silent movie '' ?
when,what time does the train arrive ?
affirmation,do you sell an extension kit available for 10' ceilings ?
unknown,how many shots can a stock m16 hold ?
what,what mountains lie between the arkansas and missouri rivers ?
who,who was the author of `` john brown 's body '' ?
what,what city has the world 's longest subway system ?
who,who was international olympic committee chairman at the 1936 summer games ?
affirmation,will it work with gfe29hmdaes?
who,who is section manager for guidance and control systems at jpl ?
who,who owns the st. louis rams ?
unknown,why do people get calluses ?
when,when did gothic art and architecture flourish ?
who,who does data collection in tourism ?
when,when was the first barbie produced ?
what,what is being done about the millennium bug ?
what,what astronomical phenomenon takes place in jan. 1999 ?
what,what can i use to remove the stubborn gummed labels from some diskettes ?
when,what time do you go to the school ?
what,what 's the only color johnny cash wears on stage ?
when,when did hitler come to power in germany ?
affirmation,would this work with the whirlpool duet sports front load washer and dryers ?
what,what is the oldest profession ?
when,when did beethoven die ?
who,who were the yankee 's frequent enemies ?
who,who was the 16th president of the united states ?
unknown,how many americans fought for the british in the american revolution ?
who,who portrayed sherlock holmes in 14 films between 1939 and 1946 ?
what,what is molybdenum ?
unknown,"the italian artist , maurizio pellegrin , is how old ?"
what,when did rococo painting and architecture flourish ?
what,what is a canada two-penny black ?
unknown,where can i find pictorial directions on how to build a very simple treehouse ?
unknown,where can i find a `` fifth element '' screensaver ?
affirmation,does it have screens in place where the vents are to prevent lint from blowing out of the vent holes ?
who,who discovered electricity ?
unknown,where 's the petrified forest ?
unknown,how many colleges are in wyoming ?
who,who was the famous door-to-door brush salesman ?
what,what asian leader was known as the little brown saint ?
when,what time does the flight leave ?
what,what are the powers and weaknesses of green lantern 's ring ?
when,when did spain and korea start ambassadorial relations ?
what,what county is chicago in ?
affirmation,can i get it in india ?
what,what wrestling star became `` the incredible hulk '' ?
what,what city is the setting for puccini 's opera la boheme ?
what,what is dudley do-right 's horse 's name ?
unknown,how can i find out what year a beanie baby was introduced ?
unknown,where do people mountain climb in nepal ?
who,who is the composer of `` canon in d major '' ?
unknown,how many hearts does an octopus have ?
what,what happened during the blackhawk indian war of 1832 ?
unknown,how do i log on to home page at headquarters u.s. european command ?
when,"when not adventuring on rann , what does adam strange call his profession ?"
who,who was ezra taft benson ?
who,who is samuel f. pickering ?
what,"what is the origin of the word , magic ?"
when,when was yemen reunified ?
who,who was chairman of the senate select committee that tried to get to the bottom of watergate ?
what,what is artificial intelligence ?
when,when was calypso music invented ?
when,what time are you planning to leave ?
who,who was jane goodall ?
what,what was the u.s. highway death toll in 1969 ?
who,who established a viking colony in greenland about 985 ?
who,who is the worst us president ever ?
affirmation,does it fit pf sw2mdca ss ?
unknown,which is the wealthiest country in the world ?
who,who first broke the sound barrier ?
unknown,how is it correct to say ` qigong ' ?
what,what is the speed of the mississippi river ?
what,what fraction of a beaver 's life is spent swimming ?
what,what longtime game show host dropped dead while jogging in central park in 1984 ?
unknown,which japanese car maker had its biggest percentage of sale in the domestic market ?
who,who wrote the farmer 's almanac ?
unknown,how many bends are there in a standard paper clip ?
unknown,how many years is johnnie walker black label aged ?
when,what year did hitler die ?
affirmation,will this fit thermador (oem: bosch) older cooktop?
what,what is grenada 's main commodity export ?
unknown,how many equal angles are there in an isosceles triangle ?
unknown,name 11 famous martyrs .
what,what city is sometimes called gotham ?
what,what is the speed of the mississippi river ?
who,who was the secretary of war in the civil war during the battle of gettysburg ?
what,in what area of the world was the six day war fought ?
what,"what are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?"
what,what 's the second-largest island in the world ?
who,who invented silly putty ?
what,what 's the olympic motto ?
what,what animal has killed the most people ?
when,when was the congress of vienna ?
what,what 's the first day of the week ?
what,what are the five most expensive cities in the world ?
who,who replaced bert parks as the host of the miss america pageant ?
what,what is a fear of shadows ?
unknown,how much money are dumbo 's ears insured for ?
who,who was tiny tim 's father ?
what,what color are school buses ?
what,what state in the u.s. has the most blacks ?
who,who is the incredible hulk in reality ?
what,what does g.m.t. stand for ?
unknown,which bloom county resident wreaks havoc with a computer ?
when,what time is it right now ?
when,when did theo rousseau paint the `` forest of fontaine '' ?
unknown,"in what sport are these following numbers relevant : 118 , 126 , 134 , 142 , 15 , 158 , 167 , 177 , and 19 ?"
when,"when mighty mouse was conceived , what was his original name ?"
who,who is nicolo paganini ?
what,what sprawling u.s. state boasts the most airports ?
who,who sings the song `` drink to me with thine eyes '' by ben johnson ?
what,what 's approaching when a cyclist shouts : `` oil '' ?
what,what author landed a 468-pound marlin without harness in the early 193 's ?
unknown,where can i find information on the narragansett indians and other tribes in rhode island ?
unknown,where is the abominable snowman said to wander ?
what,what arch can you see from the place de la concorde ?
who,who was president of afghanistan in 1994 ?
what,what country did king wenceslas rule ?
what,what is a film starring jude law ?
unknown,how many points make up a perfect fivepin bowling score ?
what,what country is the world 's largest importer of cognac ?
what,what makes popcorn pop ?
what,what is the telephone number for the university of kentucky ?
who,who portrayed the cowardly lion in the wizard of oz ?
who,who did doris day mean when she said : `` i call him ernie because he 's certainly no rock '' ?
what,the corpus callosum is in what part of the body ?
what,what city did the flintstones live in ?
what,what was known as the spice island ?
unknown,how do i start a web based business ?
what,what is a female rabbit called ?
who,who created big ben ?
who,"who is the author of the book , `` the iron lady : a biography of margaret thatcher '' ?"
what,to what does microsoft 's windows 3 owe its success ?
who,who invented the radio ?
what,what facial feature typically contains about 55 hairs ?
unknown,why are the ears your center of balance ?
unknown,how much does a new railroad coal car cost ?
what,what is the longest place name in the u.s. ?
when,when did cnn go on the air ?
what,what field sport did dentist william beers promote and write a standard book of rules for ?
unknown,which two states enclose chesapeake bay ?
what,what is california 's capital ?
who,who reports the weather on the `` good morning america '' television show ?
what,what are cushman and wakefield known for ?
unknown,where is the loop ?
when,when did israel begin turning the gaza strip and jericho over to the plo ?
what,what is color ?
when,"when the tutankhamun exhibit was on display in the u.s. , what moving company transported it ?"
what,"what do i need to do to take my dog with me to live in dominica , west indies for a year ?"
who,who penned : `` neither a borrower nor a lender be '' ?
what,what vladimir nabokov novel features professor humbert in love with a 12-year-old girl ?
who,who was darius ?
who,who played the ringo kid in the 1939 film stagecoach ?
what,what double talking `` professor '' holds a doctorate in nothing ?
who,who was the first coach of the cleveland browns ?
who,who is the prime minister of japan ?
affirmation,does this fit ed11 600 device ?
what,what `` magic '' does mandrake employ ?
what,what was the name of betty boop 's dog ?
what,what 's the name of the temple that is located near the capital city of laos ?
what,what is the best way to remove wallpaper ?
unknown,how many people are there in the world ?
what,what are equity securities ?
what,what was cash-conscious colonel edwin l. drake the first to drill ?
what,what is the size of the largest akita ?
what,what is the origin of the surname of braun ?
what,in what city is the headquarters of sinn fein ?
who,who 's played the most games for the new york yankees ?
what,what is the classic definition of tragic hero ?
when,when was ozzy osbourne born ?
who,who do herb and tootsie live next door to ?
unknown,how many years did it take james joyce to write ulysses ?
who,who was the most famous food editor of the new york times ?
who,who is the director of intergovernmental affairs for the san diego county ?
who,who is colin powell ?
who,who is the prophet of medina ?
what,what was the chivington massacre ?
what,what are the benelux countries ?
unknown,how can i find out which cities have cable-modem access ?
what,what are the greek numerals ?
what,what is a rhomboideus minor ?
who,who was the first woman governor of wyoming ?
affirmation,is this possible ?
what,what is an example of an actual case of using the fourteenth amendment ?
what,what plant is rum made from ?
who,who has won the most super bowls ?
what,what u.s. president showed a fondness for munching on bee pollen bars ?
unknown,where are the tropical rain forest distributions ?
who,who are the challengers of the unknown ?
what,what is the purpose of a car bra ?
what,what was the top box office movie in april 1998 ?
who,who sings the themes for `` dawson 's creek '' and `` felicity '' ?
what,what sea did the romans call mare nostrum ?
who,who did sonny liston succeed as world heavyweight boxing champion ?
who,"who is karenna gore , al gore 's oldest daughter , married to ?"
unknown,where are the leading medical groups specializing in lung diseases ?
what,what is the highest waterfall in the united states ?
when,when did muhammad live ?
what,who was the star of the 1965 broadway hit golden boy ?
unknown,which soft drink does madonna advertise for ?
what,what does s.o.s. stand for ?
what,what war did the wanna-go-home riots occur after ?
who,who played the title role in my favorite martian ?
what,what russian composer 's prelude in c sharp minor brought him fame and fortune ?
who,who played sally rogers on the dick van dyke show ?
unknown,where did sarge steel get his metal hand ?
what,what former president 's daughter has written a book titled murder in the white house ?
affirmation,do i need to tear off the black outside before i put the new filter into the machine ?
who,who recorded the 1957 hit tammy ?
unknown,"what lawyer won the largest divorce settlement , $85 million , in u.s. history for sheika dena al-farri ?"
affirmation,does it fit vicks v3900 humidifier ?
unknown,how many south american countries have the letter z in their names ?
affirmation,does this come with power cord and dishwasher hook up ?
what,what type of hunting are retrievers used for ?
what,what state does martha stewart live in ?
unknown,name a golf course in myrtle beach .
who,who was the first jockey to ride two triple crown winners ?
what,what is the oldest website on the internet ?
who,who was whitcomb judson ?
unknown,why did several san diego schools stop serving apples to students ?
who,who is the founder of scientology ?
what,what does the abbreviation aids stand for ?
affirmation,is there a lag time after you take it out of the box before it starts to work ?
affirmation,does this model have the damper included for the seven inch duct ?
affirmation,is the freezer frost free ?
affirmation,does it test coliform/ e. coli ??
when,when were the olympic games in which nadia comaneci became popular played ?
what,what european country is home to the beer-producing city of budweis ?
who,who is the mayor of marbella ?
unknown,why were the american soldiers in wwi called `` doughboys ''
what,what is a firewall ?
unknown,why was the l.a. office of shea and gould closed ?
what,what color bottles do good rhine wines come in ?
what,"what deck of cards includes the wheel of fortune , the lovers , and death ?"
who,who directed the first woody woodpecker cartoon ?
affirmation,can this be used on gas stove when making polenta which needs low heat. ?
unknown,where can i find the names of all the 15 pokemon ?
who,who made the first surfboard ?
who,who directed `` jaws '' ?
affirmation,is it raining outside ?
what,what rum is so `` mixable '' it is a one-brand bar ?
affirmation,does this filter work on all style 8 ?
affirmation,does it have a backlight ?
who,who played humpty dumpty in the 1933 film alice in wonderland ?
who,"who wrote the song , `` stardust '' ?"
what,what is the contents of proposition 98 ?
unknown,how fast is light ?
what,what song served as the closing theme of the johnny cash show ?
unknown,how does a rainbow form ?
who,who is the voyager project manager ?
unknown,how many beatles ' records went #1 ?
who,who seized power from milton obote in 1971 ?
when,when was the first american encyclopedia published ?
who,"who was named admiral of the ocean seas and viceroy and governor general of all the islands he might discover , and also granted 10-? of all profits of his voyage ."
what,what do flatfish eat ?
who,who painted mother and child ?
who,who wrote the look of love after viewing ursula andress ?
what,what cocktail inspired john doxat to write the book stirred-not shaken ?
what,what are some of the significant historical events of the 1990s ?
what,what does the name billie mean ?
affirmation,"is this considered a ""fill hose"" ?"
who,who was quetzalcoatl ?
what,what u.s. city is the queen of the pacific ?
what,what film did lee marvin win the 1965 best actor oscar for ?
unknown,how did the tradition of best man start ?
who,who made the first airplane ?
who,who created maudie frickett ?
who,who was camp david named for ?
what,what are the names of the tourist attractions in reims ?
unknown,give a reason for american indians oftentimes dropping out of school . ?
who,who played al jolson in the jolson story ?
who,who was the first american world chess champion ?
unknown,which condiment was once sold as a patent medicine ?
unknown,where do rocks come from ?
when,when did iraqi troops invade kuwait ?
unknown,in which year was new zealand excluded from the anzus alliance ?
unknown,when was the first wall street journal published ?
unknown,where did the term `` 86ed '' come from ?
what,"what las vegas hotel burned in november , 1980 , with the loss of 84 lives ?"
unknown,name a movie about the sioux indians starring kevin costner . ?
what,what 's the longest river in the world ?
what,what european city do nicois live in ?
who,who sang about desmond and molly jones ?
affirmation,is this for electric stoves ?
what,what explorer was nicknamed iberia 's pilot ?
affirmation,is there a cab available for airport?
unknown,how is the election of a new pope announced to the world ?
who,who sued the dannon yougurt company for using a character named ron raider for promotion ?
what,what country did king gustav v reign over from 197 to 195 ?
unknown,how do they find or choose witnesses to an execution ?
unknown,whose video is titled shape up with arnold ?
unknown,how many pairs of legs does a lobster have ?
affirmation,could i pay 1 shipping price if you bundle it ?
what,what city gained renown for its pea-soup fogs ?
who,who headed hitler 's infamous gestapo ?
affirmation,are these drip pans dishwasher safe ?
unknown,whom did lauren bacall marry after her husband humphrey bogart died ?
unknown,"how many times has `` louie , louie '' been recorded ?"
what,what do economists do ?
who,who turned all he touched to gold ?
what,woodrow wilson served as president of what university ?
who,who was garrett morgan married to ?
who,who runs andy capp 's favorite pub ?
what,what was the highest mountain on earth before mount everest was discovered ?
who,who declared : `` i am down on whores and i shan 't stop ripping them '' ?
unknown,which two products use a tiger as their symbol ?
unknown,how do i start a bank ?
affirmation,can you verify the dimensions for me ?
what,cnn began broadcasting in what year ?
what,what is stefan edberg 's native country ?
who,who are the nomadic hunting and gathering tribe of the kalahari desert in africa ?
when,when did nixon die ?
what,what 's the most commonly-spoken language in belgium ?
what,what 's the slowest olympic swimming stroke ?
who,who made a boat out of gopher wood ?
unknown,where is the highest point in japan ?
unknown,how many astronauts manned each project mercury flight ?
what,what sport do you shag flies in ?
what,what is a fear of sleep ?
who,who is mia farrow 's mother ?
what,what is a dental root canal ?
unknown,where is tornado alley ?
what,"what is the 401 , k , plan ?"
who,"who graced the airwaves with such pearls as `` do ya lo-o-ove me ? get naked , baby ! '' ?"
unknown,name a tiger that is extinct .
unknown,what did richard feynman say upon hearing he would receive the nobel prize in physics ?
what,what 's the tallest building in new york city ?
when,when were camcorders introduced in malaysia ?
what,what does nasdaq stand for ?
what,what is the current ticket fare from from cairo to barbados ?
who,who is the youngest of the beatles ?
who,who invented the paper clip ?
what,what sports event is meyer wolfsheim supposed to have fixed in the great gatsby ?
who,"who came up with the name , el nino ?"
what,what country did the nile river originate in ?
who,who was lacan ?
who,who is the antichrist ?
who,"who created the comic strip , `` garfield '' ?"
who,who 's the twin brother of the greek goddess artemis ?
what,what 's the colored part of the eye called ?
what,what 's the american dollar equivalent for 8 pounds in the u.k. ?
unknown,where are the 49 steps ?
unknown,how do you solve `` rubik 's cube '' ?
what,what is the largest snake in the world ?
what,what 's the most powerful card in euchre ?
unknown,how do you get to the top of the eiffel tower ?
unknown,"where does buzz aldrin want to build a permanent , manned space station ?"
affirmation,do these cooktops require 220 outlet ?
when,when was dick clark born ?
who,who produces spumante ?
unknown,name the various costumed personas of dr. henry pym .
what,what novel inspired the movie bladerunner ?
unknown,how many home runs did lou gehrig have during his career ?
what,what do bee hives do in cranberry bogs ?
what,what was the name of the first russian astronaut to do a spacewalk ?
affirmation,will this one work to replace the badger 1 1/3 hp ?
unknown,name the vessel used by the atari force in the dc comics .
what,what is the only gland in humans that can regenerate itself ?
when,what singer 's theme song was when the moon comes over the mountain ?
what,"what is the meaning of w.b. yeat 's poem , `` the three hermits ?"
what,what country do the galapagos islands belong to ?
who,who was the king who was forced to agree to the magna carta ?
what,"what u.s. congressman said : `` keep the faith , baby '' ."
what,what tv game show once saw a contestant admit to picking his toes in the shower ?
unknown,"whose funeral train traveled from washington d.c. to springfield , illinois ?"
who,who is desmond tutu ?
unknown,whose image is alleged to be on the shroud of turin ?
who,who is always trying to get the rent from andy capp ?
what,what organization 's offices were broken into at watergate in 1972 ?
what,what polynesian people inhabit new zealand ?
who,"who was the first american poet to win the nobel prize for literature , in 1948 ?"
unknown,where must a soccer goalie stand to be permitted to handle the ball ?
when,when do you plant winter wheat ?
what,what is a green bog ?
who,who invented the pull-tab opener on cans ?
who,who shot and killed himself while painting wheatfield with crows ?
what,"what is the origin and the meaning of the name , `` hajo ?"
what,what organization was founded by the rev. jerry falwell ?
unknown,"whose special bear 's creator was born on january 18 , 1779 ?"
what,what is the historical relationship of catholic church and bingo ?
